sid,age,gender,f0,vot
S001,20s,Female,202.851444126124,14.3495667953693
S002,20s,Female,229.684722307518,103.942317338158
S003,20s,Female,203.820893186142,30.9672514647015
S004,20s,Female,232.728176107997,106.832763350862
S005,20s,Female,192.480202505148,42.8374036487742
S006,20s,Female,183.40325472968,79.4381546871741
S007,20s,Female,189.558583051687,39.1568107124555
S008,20s,Female,204.080202016394,24.1035694119031
S009,20s,Female,198.475936356073,47.7472278075148
S010,20s,Female,181.211131793732,15.29691737081
S011,20s,Female,160.393498674604,57.2663983565528
S012,20s,Female,175.727395739203,60.3008400687351
S013,20s,Female,176.415346223366,83.4089310881013
S014,20s,Female,212.146341619237,17.5762768965772
S015,20s,Female,203.707803331581,24.5955922548579
S016,20s,Female,231.778621843395,98.1597923369542
S017,20s,Female,196.699295070555,27.6084609190785
S018,20s,Female,209.190652124865,3.99954308234389
S019,20s,Female,197.112470545056,83.729945086875
S020,20s,Female,162.56126236016,75.0762279624827
S021,20s,Female,199.71229406993,33.2073071919459
S022,20s,Female,195.979552759683,72.2505921593865
S023,20s,Female,185.790176519382,68.0521717621462
S024,20s,Female,178.822547768504,74.0913543491121
S025,20s,Female,221.895130498828,32.162274317956
S026,20s,Female,236.559636207717,82.2072291310106
S027,20s,Female,224.569544931608,12.9243987170192
S028,20s,Female,202.736502466191,45.1276565366478
S029,20s,Female,173.826728099704,66.0370193719009
S030,20s,Female,194.0306482497,29.3193769502582
S031,20s,Female,226.362002334057,9.5853041738614
S032,20s,Female,207.801773597245,32.3868938372638
S033,20s,Female,204.947452032444,34.5588765348994
S034,20s,Female,194.677834540013,26.4627055758956
S035,20s,Female,180.74173870984,88.9283930885301
S036,20s,Female,211.575755950324,22.7405432441072
S037,20s,Female,203.436907088793,27.2372193257504
S038,20s,Female,191.711730168552,41.0976158636828
S039,20s,Female,197.034735982352,36.275319609646
S040,20s,Female,167.726825928274,83.0574162232413
S041,20s,Female,190.647043141049,87.1314395571592
S042,20s,Female,222.086557932984,28.3699590776962
S043,20s,Female,206.062473718742,36.7501943653522
S044,20s,Female,205.62375350866,23.9892065222199
S045,20s,Female,192.839442736045,36.2402178741376
S046,20s,Female,229.992234181696,94.494914314633
S047,20s,Female,196.962217114701,43.137764160761
S048,20s,Female,198.127265115753,28.5292945207558
S049,20s,Female,199.616819243594,29.901021334265
S050,20s,Female,180.782823455749,73.7896307404019
S051,20s,Female,204.448577173268,10.5370847079929
S052,20s,Female,226.695970423689,87.8667330388396
S053,20s,Female,216.372262057161,47.4013805802487
S054,20s,Female,163.928980484485,82.6797112721234
S055,20s,Female,206.567180408311,30.4242566051718
S056,20s,Female,207.757167052757,25.5723369676734
S057,20s,Female,204.137660486465,29.3106692129085
S058,20s,Female,214.218398742902,30.2206245590803
S059,20s,Female,204.571015558184,39.3214392045677
S060,20s,Female,183.859493633797,64.3356790086601
S061,20s,Female,207.524548579916,24.7332312010494
S062,20s,Female,208.098903897427,16.3628089394297
S063,20s,Female,199.8637903362,22.9637581228335
S064,20s,Female,225.553794394919,29.3835565381289
S065,20s,Female,194.782774065074,14.8439347218372
S066,20s,Female,169.796438895973,86.459384818575
S067,20s,Female,202.723196903305,41.553082976983
S068,20s,Female,161.194399054936,76.190376692796
S069,20s,Female,188.96815790546,74.9298664793253
S070,20s,Female,213.293338344424,38.2357781618327
S071,20s,Female,157.078183831936,70.7615169934273
S072,20s,Female,191.405264550097,20.4851492052636
S073,20s,Female,195.002335516115,61.0061561366961
S074,20s,Female,199.458436020394,22.5270347458445
S075,20s,Female,214.625124221446,17.5673995018322
S076,20s,Female,215.279623009757,31.4945132007422
S077,20s,Female,221.735726301859,88.3460890635828
S078,20s,Female,177.262288098964,71.7038469937987
S079,20s,Female,185.745596920954,75.0269098251595
S080,20s,Female,177.950452735708,60.1766592529979
S081,20s,Female,188.031560513729,45.4495294338034
S082,20s,Female,187.397331407014,87.044870505007
S083,50s,Female,178.293993884019,55.2509601639727
S084,50s,Female,181.773772462511,69.0261667703536
S085,50s,Female,216.546994081601,23.1612519910296
S086,50s,Female,205.535764476583,28.9144448414228
S087,50s,Female,224.785489524928,13.3071807452336
S088,50s,Female,254.59477511296,91.5173661794151
S089,50s,Female,200.283776721604,39.3908552931538
S090,50s,Female,205.509238620318,36.3250877228864
S091,50s,Female,263.671715004281,96.465306178575
S092,50s,Female,216.253260096991,30.5218382532857
S093,50s,Female,188.112845617412,24.4256603849736
S094,50s,Female,174.699508413556,69.4270743250041
S095,50s,Female,195.572312646359,83.9180245114582
S096,50s,Female,170.64201296504,77.1311240243173
S097,50s,Female,177.112219992185,69.2302082754984
S098,50s,Female,197.361466749077,49.2395777100177
S099,50s,Female,201.571894206592,22.740051585151
S100,50s,Female,191.057743494477,41.5464163693631
S101,50s,Female,192.85593081124,38.6190923071041
S102,50s,Female,168.302841460998,80.751284032865
S103,50s,Female,217.007102523839,23.4596139666156
S104,50s,Female,206.022586910927,36.6178001148691
S105,50s,Female,237.770839931348,80.7729263045189
S106,50s,Female,169.539681508489,67.2080197956994
S107,50s,Female,185.922236678683,29.7533507502305
S108,50s,Female,224.834360816583,98.507480200964
S109,50s,Female,207.597959866504,30.8156496212528
S110,50s,Female,223.138656505071,94.7422350040694
S111,50s,Female,217.323598506999,24.1403722582891
S112,50s,Female,209.328936626617,34.3704914760318
S113,50s,Female,221.627244274598,18.4243152827399
S114,50s,Female,166.882901533657,54.9872976657603
S115,50s,Female,194.589727528876,32.5474868180378
S116,50s,Female,215.49064746928,35.5111697474879
S117,50s,Female,221.836615653982,107.497965122471
S118,50s,Female,210.524432249539,23.0068111445296
S119,50s,Female,203.35488540765,28.7251818375235
S120,50s,Female,212.405327077084,38.8226636198692
S121,50s,Female,204.902942830798,23.9689484261738
S122,50s,Female,178.185729171167,73.0359148367942
S123,50s,Female,190.84970736591,35.4892693300113
S124,50s,Female,187.710563504001,25.0091228301309
S125,50s,Female,197.487914654265,23.6470074530721
S126,50s,Female,181.625196577947,38.4249508982249
S127,50s,Female,205.217115463233,19.3699874459447
S128,50s,Female,243.799012634491,100.936590031973
S129,50s,Female,157.165770801641,64.8963742052707
S130,50s,Female,201.959382580631,6.8318958014034
S131,50s,Female,176.224109330079,79.1425104833243
S132,50s,Female,177.66466409923,71.2741680127724
S133,50s,Female,173.585209565036,72.597706764714
S134,50s,Female,200.559017378508,26.8120801250908
S135,50s,Female,198.20119893437,38.4201588097061
S136,50s,Female,172.2881915904,64.6692093838441
